mbid,listeners,playcount
0d198fa9-490a-4a71-ac56-e7ee37888396,186,750
fa58cf24-0e44-421d-8519-8bf461dcfaa5,3044707,600606445
67f66c07-6e61-4026-ade5-7e782fad3a5d,6185630,351541703
b342d50e-401c-4c77-b7e4-2b3e7beaf00a,241115,1088258
8328b279-1863-487b-976a-58a62b85220a,797545,37646581
83aeb2c4-579f-41e7-96d6-73dc1173edde,0,0
5ec1ecc6-4535-4911-a27a-e26343f4a189,1691535,96183105
21645c31-fe1c-45a4-955c-3e172b12c3f9,1231449,100858720
65c351fd-bcc4-47fe-b7b7-15bb4912a8e9,52,240
d8fd8d9b-473b-4f06-83c8-869b1bb9de89,1597316,95239119
3451be55-9f9e-4baa-b57b-fcce1b664e98,0,0
9491138a-e451-4026-8d03-d20bcc7f9f2a,11109,64664
7999a8a1-6cbd-4453-8dd4-ebd03a10e44f,1532455,80276725
20c9c2de-e23c-43a0-8706-7c5bfdb1d31e,346669,2399245
44c64a30-1d58-49c5-b314-6e02fba49526,169928,9682125
0211756e-139e-4b4c-a721-9ee9db363f12,69952,583535
3a052c99-8c18-484a-8beb-9873b4fb3106,1823422,56655151
23e6234d-d57c-42e4-a7e9-e84e072adb25,29,748
4a08f237-59f6-476d-a98f-66b19a7470ed,0,0
2d9eca62-e738-494a-827b-a4f7a847d75c,416,9385
2006a0f7-04ed-48bc-8a60-0e01b95f5095,20465,309163
7eb1ce54-a355-41f9-8d68-e018b096d427,3038927,381281170
db8d33d1-80b3-47c0-a71c-cffdf227521e,0,0
ef73e6ed-9096-4ddb-9799-b94874d0ce33,1552650,20029310
fc7ac183-74f9-417a-bfbb-8c5840d01fa7,517,1422
592da4c4-9618-4a1a-a944-e60c05c39037,1610651,34594084
14ec11c6-d275-405e-999b-d7629633e51d,69,207
b1cfbd77-bda6-4de8-a344-eb2f26c4f1ef,67917,717684
90023d8a-3907-45ec-a2aa-b8da61a6d0bd,107,355
a9d1d9b5-968c-486d-8a97-6077885f2ab8,1126796,24917798
83735edd-f2a3-41d0-a31d-652bc3cadb3e,725542,6101289
32f02957-6de6-4663-bf2d-0b3aa0662384,22668,189078
1d8b8292-7dc9-45a1-8cdf-818148cb56ea,18275,98164
fe27eaad-5cce-4d3f-bcee-a55cb05779bd,31241,63628
43f28d78-3566-4fd2-bdae-a15bb6342d16,30152,400721
29fab96f-c3a2-4251-80f6-7ccda50da706,937745,30509656
2244c1f9-773f-4541-a4fe-ee6dc4f2ce60,889977,20167706
8ccf5657-92d6-4f31-9527-ba1fb90530b3,0,0
dc6341b6-2914-4fcc-b58c-985733b43f16,0,0
b8dda016-7150-4b5f-9b64-f12ea82882ae,0,0
9118f524-be76-4eaf-875c-ccf15e2a2ad6,1629150,127609134
d6ed7887-a401-47a8-893c-34b967444d26,2683633,97280794
e96edb5d-52c3-4ba9-8097-9a4e8c5e2f88,27983,150641
64facc0b-6e13-46e6-ac3d-c6c1653598cd,14,29
0e48d6a9-7a38-42ae-9356-65ad8b6e977d,61,168
4b807f4a-ce62-494b-bb5b-05372d6b0ae9,0,0
071d8ae3-e92d-41e1-bc21-378d33400d1d,4,13
543727f8-971b-4433-a208-9896b0785dbf,0,0
194e5e92-0f2d-4d81-b5b9-c5f18d9edd59,227971,1219257
c777f839-67ce-4d26-99de-8a6707ad1b44,0,0
38dd6337-19ae-4793-ab4b-313eff523457,554370,6687011
f99ccd31-b368-4b40-bde8-8fba740c8466,2,2
e9a9acf3-673e-441a-90a6-8d05e8e1e892,1777,7164
c47026a1-3300-4cf7-80df-8b9462a884e4,47533,307231
d7557f83-02a4-47c4-b48e-ac9d49f9c92c,24629,95692
628afe17-d46a-43c6-82fa-074cc7ed3b3a,4,19
668391a3-cf69-4cd2-9d18-12e82fec15f2,146,501
bfa30cb9-c909-4ffe-bc45-2a957455b03b,0,0
d12cfa67-ad97-4b34-a71f-1dcce737f5e3,8,8
42ba45d2-4938-4bf5-9121-5caffc719c4d,77364,434302
05517043-ff78-4988-9c22-88c68588ebb9,2065064,51646539
