rank,name,mbid,listeners,playcount
196,Noah Kahan,a2a3f910-b188-43e7-81d0-f1ac2a2f3e12,1441310,148790907
197,Pixies,b6b2bb8d-54a9-491f-9607-7b546023b433,4113765,206912344
198,$uicideboy$,ef326b3d-61f0-4379-aca0-21237d696d63,1486856,424529286
199,OutKast,73fdb566-a9b1-494c-9f32-51768ec9fd27,4767379,139175100
200,Chief Keef,9118f524-be76-4eaf-875c-ccf15e2a2ad6,1617303,126201894
201,The Goo Goo Dolls,e2c00c56-8365-4160-9f40-a64682917633,2411179,46638205
202,Sufjan Stevens,01d3c51b-9b98-418a-8d8e-37f6fab59d8c,3713521,283363610
203,Charlie Puth,525f1f1c-03f0-4bc8-8dfd-e7521f87631b,2242070,125854435
204,2hollis,8bd5a8fb-4c25-401d-a597-2c24affdd5c5,619928,59183012
205,MF DOOM,188711ed-c99b-439c-844a-ca831f63a727,2185422,152604228
206,Lucki,3b997560-44d4-4b50-befe-b3450f928404,1073443,260026698
207,The Cardigans,3e55d51d-687f-4a9d-af96-2fabccf802e5,3439664,83639238
208,Lisa,70198b37-f6c7-4cc7-a728-4224e860a15f,1794041,115704276
209,Black Sabbath,5182c1d9-c7d2-4dad-afa0-ccfeada921a8,4247522,199712303
210,ILLIT,6b128dd7-e998-4edb-a4f5-400fef190445,935814,62094415
211,Adrianne Lenker,763cb144-afdb-471e-bd86-d4f5b9b58641,1209384,97486175
212,Tears for Fears,7c7f9c94-dee8-4903-892b-6cf44652e2de,3711372,83179815
213,Bryson Tiller,d8fd8d9b-473b-4f06-83c8-869b1bb9de89,1584920,93989379
214,Led Zeppelin,678d88b2-87b0-403b-b63d-5da7465aecc3,4788091,329784373
215,Djo,83cedfd0-a118-48eb-ad71-72f4c2f95fd2,1910817,66317723
216,Shawn Mendes,b7d92248-97e3-4450-8057-6fe06738f735,2539856,131419612
217,Megan Thee Stallion,ee27b2d8-648c-4a9d-a68c-e55066959975,2157156,169907270
218,Ethel Cain,677e31f1-4035-463c-8ca4-41175440c919,1143162,123047886
219,Lil Baby,d42a5768-ada1-4fb6-85fd-f61aba6264e0,1505315,151855221
220,Amy Winehouse,dfe9a7c4-8cf2-47f4-9dcb-d233c2b86ec3,4445420,194269451
221,Kodak Black,5ec1ecc6-4535-4911-a27a-e26343f4a189,1674847,95030053
222,Kate Bush,4b585938-f271-45e2-b19a-91c634b5e396,3182936,132535911
223,Cardi B,2f3c4d70-0462-40da-bba3-0aec5772c556,2247968,70681640
224,Panchiko,8f64d6ea-3f6c-408c-b2e0-e5334b28dae9,989938,65502342
225,ENHYPEN,95663592-1447-4579-90f7-c94733476667,1008714,277241097
226,Crystal Castles,b1570544-93ab-4b2b-8398-131735394202,3012122,225426594
227,Melanie Martinez,aaed1746-ea00-4cb4-9273-88b34e148991,2127574,220861936
228,Jung Kook,23c8056b-ee13-4cfc-a772-2f5292e35bb5,1324774,727193253
229,Gwen Stefani,2e41ae9c-afd2-4f20-8f1e-17281ce9b472,4223456,82919391
230,Nine Inch Nails,b7ffd2af-418f-4be2-bdd1-22f8b48613da,3460307,303794686
231,Miguel,285e1285-aecc-478f-a8da-0c8cf69e1217,2530069,70374514
232,Gigi Perez,8ab64ebd-200e-47af-a3fc-92540e186214,1204786,39572580
233,blink-182,0743b15a-3c32-48c8-ad58-cb325350befa,4472764,295805061
234,Khalid,acc88434-f16e-4aad-83e0-ea0ee6bb6b3d,2179044,89842248
235,Bob Dylan,72c536dc-7137-4477-a521-567eeb840fa8,4151273,281602908
236,Pearl Jam,83b9cbe7-9857-49e2-ab8e-b57b01038103,4200022,242694200
237,Empire of the Sun,ac7e838c-3d95-47c2-92a9-81767ad7c217,2828491,71133577
238,Guns N' Roses,eeb1195b-f213-4ce1-b28c-8565211f8e43,4997625,194152502
239,2Pac,382f1005-e9ab-4684-afd4-0bdae4ee37f2,3976953,136400534
240,Billy Idol,47c8f88b-987a-4b64-9175-2b1b57809727,2834679,51517036
241,Red Velvet,4f0cb3b7-6c06-4317-ae35-ddf3106a17ee,1288889,229281760
242,Björk,87c5dedd-371d-4a53-9f7f-80522fb7f3cb,3296470,241809647
243,TOMORROW X TOGETHER,9d027d72-790e-40ec-bbb7-61aa613457de,1137274,398977684
244,Stray Kids,142b343d-bf5a-428c-a64f-6d1a7566bbe9,1229577,434805639
245,Suki Waterhouse,8389ff77-a7a4-4ba4-bf1b-17ded47d41a1,1603087,48808514
246,Lord Huron,51c76d97-0635-433c-b26d-66beb81657f8,2159063,65720696
247,Elliott Smith,03ad1736-b7c9-412a-b442-82536d63a5c4,2843703,267749287
248,Zayn,985f7e6f-0a7e-4de7-b9ec-a5dac63cb2f7,2109727,109408365
249,Saja Boys,62e4d845-5a9f-462f-a909-8e480dd3c1b8,644917,14553444
250,JPEGMAFIA,c42e60f4-4520-4954-b6e4-82bbdf532c11,1168906,216549788
251,Joey Bada$$,9757ae7d-44b1-4d63-81ce-b463fe27b9ae,1673383,107813000
252,The Chainsmokers,91a81925-92f9-4fc9-b897-93cf01226282,2600602,81458062
253,EsDeeKid,3d253cbd-fb66-4752-a8d1-f9b0db75bcea,284525,14859239
254,Sam Smith,5a85c140-dcf9-4dd2-b2c8-aff0471549f3,2937421,107417608
255,Talking Heads,a94a7155-c79d-4409-9fcf-220cb0e4dc3a,3097993,134370489
256,The Offspring,23a03e33-a603-404e-bcbf-2c00159d7067,4423698,205907064
257,Depeche Mode,8538e728-ca0b-4321-b7e5-cff6565dd4c0,4277230,283684687
258,Ellie Goulding,33ca19f4-18c8-4411-98df-ac23890ce9f5,3720015,145024466
259,Aphex Twin,f22942a1-6f70-4f48-866e-238cb2308fbd,2892040,208078038
260,Glass Animals,20395131-fbde-43ce-b141-b700cfdae99c,2461955,125978353
261,The Notorious B.I.G.,d5d97b2b-b83b-4976-814a-056d9076c8c3,2928667,87472611
262,OneRepublic,c33c2065-b1c3-4406-b066-d33a9e2ea71a,4156792,129395222
263,Bladee,cd689e77-dfdd-4f81-b50c-5e5a3f5e38a4,902545,369497356
264,Wallows,9fae44ec-b95c-4b0f-a0a6-f0008613eabf,1955336,117354355
265,Duran Duran,1a1cd7f3-e5df-4eca-bae2-2757c9e656b5,2983531,69706507
266,Blur,ba853904-ae25-4ebb-89d6-c44cfbd71bd2,4611874,185596717
267,YoungBoy Never Broke Again,127d8614-0876-4408-886c-6f110b047a78,1031292,149585503
268,Flo Rida,4593d49a-7f67-46ba-9ec0-126bd676286f,3958727,70657249
269,Fiona Apple,a9ee533f-8871-4f62-a6bb-91eb264abc90,2628563,166458254
270,Mother Mother,69681b02-05b8-4685-80cb-e98983b7a96f,1811095,95950662
271,Hotel Ugly,d1338719-b2e2-45d6-a457-671232f553d4,1745202,47682279
272,Strawberry Guy,287cb25a-9b05-474c-9ad1-38046a46c37f,1553273,42585125
273,Daryl Hall & John Oates,debabff3-2559-46e5-862d-ef2a906d7010,2342357,48776075
274,Destroy Lonely,987d3d86-0d7a-4292-ae96-a8d59e456436,833851,167798916
275,Fontaines D.C.,fd87acc7-e0a0-4a45-bc2a-d2ab5c10be68,927247,64359016
276,Carly Rae Jepsen,09887aa7-226e-4ecc-9a0c-02d2ae5777e1,2844522,148593968
277,Camila Cabello,01b8b5bf-06cb-45da-85fb-61ada72fcd69,2249281,120919658
