"mbid","clustering_local","triangles","open_wedges","gwesp_contrib","degree","eigencentrality","pagerank","kcore","betweenness","closeness","same_genre_share"
"5cbef01b-cc35-4f52-af7b-d0df0c4f61b9",0,0,0,0,1,8.47333385247537e-07,0.000141042636648104,1,0,0.144261616475215,0
"87940179-76a7-4fb7-a8d1-2e4cda09dd61",1,6,0,0,4,7.10006850131652e-05,0.000297918282673074,4,0,0.162622491833878,1
"11433f50-a7da-4dc2-8ca8-84b5d160e20e",0.75,27,9,0,9,1.18480874338473e-07,0.000516371132583323,7,0.000188492290531392,0.128526645768025,0.333333333333333
"17b53d9f-5c63-4a09-a593-dde4608e0db9",0,0,0,0,1,1.88947332714765e-17,0.000268883946546114,1,0,0.6,0
"1ea888e8-3406-41b7-a516-5e743540a442",1,105,0,0,15,0.00711978265539309,0.000497928010116963,15,0,0.220047355958958,0.933333333333333
"c83430e1-1b8f-495d-a9f9-dca75d46da58",1,21,0,0,7,0.0119329011399733,0.000318094965957113,7,0,0.217778472113732,0.714285714285714
"6838ca8e-da88-436c-a0fd-6d3a7e832f1f",0.5,3,3,0,4,5.69879181212895e-17,0.000446320199556086,3,2.28855645487348e-06,0.434782608695652,0
"338c8478-01a8-4851-a65a-3f42ae14f2dc",1,1,0,0,2,5.1152766356988e-17,0.000387611922942527,2,0,1,1
"ff748426-8873-4725-bdc7-c2b18b510d41",1,10,0,0,5,1.11961676199235e-06,0.000348080193896573,5,0,0.149474587175638,0.6
"f7ba7fbe-c6bd-4ac0-bee9-c25c558d7d62",0.361111111111111,13,23,0,9,0.00933756912240763,0.000511039837338294,4,0.00189524905271437,0.225895316804408,0.111111111111111
"ea1e93f4-d005-4897-90a9-e065f837d7e2",1,6,0,0,4,0.000551100956517072,0.000279645870457594,4,0,0.188735445437314,0.75
"d4889ce7-b66b-4de5-9c88-088d2e18492c",1,28,0,0,8,0.000563791970976199,0.000389371074496731,8,0,0.189453655884751,0.875
"9f3576a9-ef8d-44d2-bd05-0c3ce1ea691d",1,36,0,0,9,0.0173131103018833,0.000371705950073792,9,0,0.240718356069763,0.666666666666667
"0cc4efd9-b2db-4428-a646-82f04d653d58",1,10,0,0,5,0.00513672315830137,0.00031446281366045,5,0,0.181865622961513,0.6
"aee63f14-ab80-4b37-86e4-d06fe05a898c",0,0,0,0,1,3.96835338061139e-17,0.000387611922942887,1,0,1,1
"bc1cc75d-ab68-41b2-a135-3b62f41ea266",1,1,0,0,2,2.24090150522767e-17,0.000329810144960493,2,0,0.666666666666667,0.5
"0e21491a-18a5-40d9-a68c-a651a0fda689",1,3,0,0,3,3.75750086972068e-17,0.000387611922942939,3,0,1,1
"f5c29b24-f309-46e1-bc75-001f19b1edd0",0.583333333333333,21,15,0,9,0.00389761777939074,0.000387424959103189,6,0.000299052579188513,0.223147110613094,0.888888888888889
"8f4350e9-c567-4cda-9b10-d44ac1b9a9f4",0,0,0,0,1,0.000288379822617352,0.000128475020141877,1,0,0.161379949062283,1
"5d06fe54-485a-4a07-b506-5f6f719448cb",1,1,0,0,2,4.81750593106422e-17,0.000387611922942527,2,0,1,1
"dee1716e-c54c-4cc1-92f6-625a0f48c4b2",1,6,0,0,4,0.00437907870562591,0.000256821873225462,4,0,0.185323052379686,1
"46e35005-303b-48f8-bf30-f477fbd6936e",1,6,0,0,4,2.50455551122605e-17,0.000387611922942844,4,0,1,1
"57944f82-e5fd-4f3c-b344-f3f9651c6931",1,10,0,0,5,0.00225338688574052,0.000268801678820302,5,0,0.203533362534677,1
"277ae4fb-4f7a-4bfd-af15-7d36f19ac09a",1,3,0,0,3,0.000409884457743808,0.000211777176855197,3,0,0.184709155956009,1
"85d76093-9865-4605-97fa-8c910929d366",1,36,0,0,9,0,0.000387611922942579,9,0,1,1
"4bdcee62-4902-4773-8cd1-e252e2e31225",1,1,0,0,2,1.61811086394191e-05,0.000190184638621042,2,0,0.167749699157641,0
"42a636a0-dbe4-4d0c-abe2-1590fad9531b",0.9,9,1,0,5,1.87613345267816e-17,0.000436702859025964,4,1.27142025270749e-07,0.857142857142857,1
"970ec984-5b9d-49a8-a1b3-3c0d6c7d5c34",0,0,0,0,0,5.25564033535461e-19,5.81417884416849e-05,0,0,0,0
"d4659efb-b8eb-4f03-95e9-f69ce35967a9",1,6,0,0,4,0.000508927973634156,0.000272906443551196,4,0,0.159587864911276,1
